review_text,label
i big fan cuban sandwich places i personally love marianao s steak sandwich ones here it also expensive mariano s place makes huge menu less hectic ordering experience convenient hours operation the lechon amazing here the steak sandwich also good i d recommend anyone area try place out you regret it the experience surely good one cause owner pretty friendly really seems care everyone happy food,0
i stared trying decide many stars give i must say i close giving 3 stars i huge rick bayless fan i books i dvr show i think he s great chef i love eat food this place however live hype opinion i tried ahogada i m huge fan good carnitas i expected get best tasting carnitas ever i got arguably worst i felt meat dry pretty tasteless i bathe sandwich hot sauce came get flavor i must say i quite disappointed that if i guess lacking i would say probably prepare whole pig slow roasting overnight i m pretty sure shortcuts taken that speculation though either way i definitely recommend sandwich anyone wants good carnitas however prepared good my wife got milanesa chicken torta mixed feelings at first blown away helped asked avocado i tried thought pretty good nothing special we ordered chocolate milk ok lastly got churros ice cream i actually thought good i highly recommend them they probably saved rating time around overall i feel i may little harsh words i feel average meal i d like add feelings definitely weigh paying 10 sandwich couple bucks small cup chocolate milk the truth i could get better tasting torta half price almost anywhere else i frequent i think kind ridiculous pay much sandwich twice good as stated above sandwich even good much less twice good the reason 3 star i decided give one shot one day rick bayless deserves benefit doubt opinion,0
this place thoroughly reviewed i ll keep somewhat brief i twice enjoyed items i ve had for appetizers i highly recommend mini sopes they shredded beef tomatoes i know menu changes may always there get are i also got queso fundido i thought great i recommend tamales mine chorizo bacon sauce it i also recommend flautas my entres steak dinner duck tacos i enjoy tacos much except handmade tortillas awesome the steak good though most sides extra like rice example for desert i ve flans always good i think can t miss i highly recommend it overall i took star couple reasons one food amazing enough wait price i completely love rick s show books i cook trust book restaurant different go knowing uses authentic flavors ingredients twists dishes bit i completely respect makes original dishes may surprise looking flavors used to,0
i never bad meal indie before i ve eaten about oh i know 90 times i went school loyola chicago street now every time i go there 1 i try something new 2 i bring someone new recently i sushi off friend lincoln park brought toro i brought indie mututally decided indie better choice for know toro decent sushi place lincoln park lines door every night week so sushi that s better toro without riduclous wait time go edgewater indie cafe i recommend dragon new york maki oh mochi excellent too,1
i love place much when family austria came visit family summers ago decided take unique dining experience it first time here i fell love the buffet pretty good however i go much it entr茅es i after if eat buffet like i saw one girl do probably really like place also vegetarian almost every entr茅e meat best place go the entr茅es amazing swordfish especially it takes different entr茅es come around since many go people great conversations with you re looking hours long meal here also i remember place bit pricey fine high quality meats offer also i dinner prices could differ parts day the serving staff nice or least i there it s 2 years since i last there i think our waiter overhead one cousin talking studying chef server brought kitchen could see everything assembled i thought kind all all i can t wait go relive delicious food induced coma this place makes feel unashamed massive glutton i am,0
horrible service period,1
kinzies nice place evening out dress well u go the service great they took trouble explain different cuts donot know much steak i delmonico fabulous and variety gravys sauces choose from i creamed spinach broccoli fondue sides delicious for desert profitroles yummy decent wine list well,0
i ate kinzie chophouse week ago i impressed i help feeling i paid 40 15 steak the food tastes cheap paying i got distinct impression suburban chain steakhouse masquerading fine urban dinning destination it needs realize place world the menu ridiculous makes mockery anyone willing pay prices quality food and lies problem i would guess ownership feels best interests buy inferior ingredients markup price pocket savings the reason i m giving one star review service excellent the staff knowledgeable friendly extremely helpful the entire restaurant runs smoothly staff make pleasant dining experience if cheap ownership would excellent restaurant anyone visit,1
i grew here my cousin i would make frequent runs dodging cars like playing game frogger n milwaukee ave w hermione st our grandmother lived right w hermione st my grandmother passed since house sold stop driving way romeoville milwaukee devon there no hot dog place top superdawg ever their shakes malts die for the pickled tomato like cherry top sundae of course i ve everything menu one point another everything awesome my favorite part old fashion drive in park order menu board come car food hook tray window the staff awesome food great atmosphere die for even sell souvenirs if never live within hour radius go it 1 3 year treat family 6 if husband i would least month it look little run down adds atmosphere good ole fashion drive in s this place least 60 years old that alone shows something right oh put ketchup hot dog need get chicago go new york belong,1
the fact place offers diverse menu maintaining quality yummy flavor pretty amazing this definitely favorite brunch spot i regularly take town guests get feel greek town the complaint get super crowded weekends but worth wait crowded seating week days much relaxed enjoyable try it,1
cafe 28 solid 3 star experience glimmers 4 stars the service outstanding we seated table little section server nicer accommodating i feel food misses mark some items outstanding others much i love green tamale appetizer skirt steak really good sides ok,0
sorry never go back place food good service terrible expensive,1
i really really enjoyed place not service impeccable food good we started fried ravioli relatively expensive get proved well worth price i believe something like 5 6 pieces my dish farfalle pollo fantastic really enjoyed dish portion proved enough fill up i ended taking somewhere half third home me my partner conchiglie gorgonzola it good i liked farfalle pollo better i certainly making return trip pasta bowl definitely over,0
had dried chili chicken fantastic lots heat lots chili peppers,0
what great place eat awesome food friendly service always great time walked accident thinking diner food found vegan shocked great job guys 5 stars,0
haven t years good know still around service pretty bad especially speak korean do still love side dishes course kalbi jop jae am looking forward next time head again,1
i submitted many reviews yelp sunda before it far best restaurant city i ve lived 19 years certainly fix restaurants the food fantastic service unbelievable partners make sure everything liking i seriously go 1 reservation next sunda dining highlight week year,1
the pizza good italy i took 83 year old mom spacca napoli said pizza good pizza used make growing italy her family forno de legno wood oven jonathan owner gracious hospitable on 2nd visit remembered us brought little glass prosecco little welcome back gesture little touches like make experience better i afraid service would get compromised expansion everything running efficiently ever the sidewalk tables terrific they re sidestreet traffic exhaust smoke issues you ll never rushed service always cheerful friendly i love daily specials i really appreciate wine selections pretentious they re reasonably priced spacca napoli quickly become one favorite places dine,1
this place great cheap delicious meal the vegetarian burrito chile relleno favorites the steak sandwiches also quite good i get entrees often huge good too the service ok usually friendly fast paced encourage quick turnover last time i there super busy i noticed hostess cashier guy texting whole time it made feel bad people working asses guys sat phones bummer,0
i m giving another star star bartenders henry patrick i love guys nice make great drinks even want something impromptu remember name meeting once i usually go nights quieter there s line,0
seems like sort place love hate me love it hot dogs one favorite places grab burger shake me whoopercheesie vanilla shake combo hard beat,0
3 stars due long wait wait worth quality pizza flavors good sausage pie crust dry hard almost inedible much prefer giordano s lou malnati s,0
coming like going visit cuban grandma makes heaping plate delicious food we lechon plantains rice black beans tasty we scarfed down we mid afternoon steady stream people getting know place the cuban music background sets mood well cuban newspapers back day pasted walls i plan come back breakfast pastries looked good coffees priced fairly lots interesting stuff discover,0
i promised friend could write review i use space rave i had the best experience here and absolutely loved it i lost bet susan the deadbeat yet write review although could hardly call bet fair wager i told i d take since i coupon 2 4 course meals 65 yes like everyone else i suspicious assured fellow yelpers i m glad went we made reservations i hate restaurants let make reservation able secure seat outside although tables really close road relatively quiet street the wine merlot normally favorite delicious the bruchetta amazing fresh crisp house salad good i trying save room main course i ordered truffle filled ravioli bit rich time i got main course i much room left it the tiramisu par could little espresso flavor overall great service great food great atmosphere a highly recommend everyone go whether good friend significant other large group i m sure enjoy it,0
we sit meal here ordered pastries to go specifically almond walnut baklava can t much baklava well cookies can t remember name raspberry filling one end dipped chocolate sprinkles everything delicious baklava sweeter i d before the cookies great especially dipped tea this cafe cute i m definitely planning making another visit hopefully lunch break since pretty close work,0
i went last night friends cross fingers moving back town i knew loved mia francesca s chicago residents i saw group behind restaurant new place little italy i thought would great place try although easy public transportation little italy got cab loop 12 i previously called ask alcohol policy i asked patrick door fyi alcohol policy outside liquor restaurant calls retail pricing apparently means bottles supposed priced similarly binny s add 7 corkage fee there wall wine bottles reflected long menu there also wines glass the food small plates sharing style some favorites take caprese salad ravioli pasta sea urchin crab potato pork belly pizza red sauce pasta sausage the risotto beet salad good outstanding others we ordered bottle one cheapest wines dessert we stuffed with two predinner drinks wine food bill came 65 two the restaurant currently taking reservations worth calling ahead check wait since featured redeye upcoming features wait sure increase,0
service good greek town location food every bit tasty good thing two town friends catching brunch else may minded juice coming meal finished plates sitting front us 20 minutes aak check multiple times i think issue specific server please let deter trying place the food really great fluffy eggs juicy jam perfectly cooked baby reds,0
their stuffed pizza almost good nancy s quite spicy good crust generous cheese i would skip pan kinda wishy washy thin crust mediocre pat s best thin crust hands down not true chicago deep dish experience like uno s lou manalti s darn good eatin my son s favorite,1
oh delicious i never problem getting in always busy i mention deliciousness the pistachio crusted chicken favorite entree add mojito i d eat daily liver arteries would allow it no one ever need convince eat here jump opportunity it s right near irving park brown line stop opens again make cafe 28 first destination,1
i asked boyfriend wanted go dinner birthday saw ad red eye zed 451 we go zed receive horrible service food tasted bad the service slow left hungry zed brazilian steak house keep coming back serving meat you the meat carvers standing around kitchen talking waiting cooks get meat ready it like prepare enough food i spent 160 dollars bad service bad food it boyfriend s 31st birthday ruined how spend 160 dollars leave hungry i wanted complain manager boyfriend disgusted fed wanted leave we spent almost 3 hours there i called next day complain i spoke kelsey manager time she apologized experience gave cell phone number she said come back would take care us she seemed actually care wanted make things right so i tell boyfriend reluctant go back waste time first time we decided go back month later hopes things changed i called manager cell said would put us 8 30 evening we get 8 15 hostess informs reservation 9 30 i said i talked kelsey put us 8 30 they tell i m there the hostess tells us go upstairs drink she ll try get us something 20 minutes we want argue go upstairs we drink the view beautiful drinks okay do get sangria great ran fruit night after 30 minutes went back down we wanted make sure enough time now place even crowded i know wait we sit middle section next salad bar get stuck sharing table another couple the waiter time around much better service improved the meat service faster i say full we wrapped everything less 2 hours seems like one guy carving meat night guy kept coming table different cuts meat now talking manager one would think put notations kind reservation i expecting least get discount one dinner comped something well get bill 120 no discount comp nothing now sharing table another random couple i want cause scene they said visiting town first time chicago my boyfriend pulls credit card shakes head now instead wasting 160 threw 120 away 300 spent okay food okay service we would gone back think going get something it i call kelsey back next day complain asks i ask her i said reservation even sharing table another couple i want draw attention she says town call back 2 days returns work 1 5 weeks later i heard anything her i left another message voicemail gotten kind follow all why give someone cell phone say take care them really intention to honestly amount money spent go ruth s chris joe s grand wildfire fogo brazazz much tastier really want go brazilian steak house zed worth it i satisfied writing bad review metromix i file complain bbb i hear back 2 months someone finally contacted me new manager he nice refunded credit card boyfriend s credit card this i m giving place 2 stars guy nice enough refund us apologized experiences i still go back again i think anymore i got invite go back email event i requested remove email list a new manager emailed back asked i go whole explanation apologized said try coming she d take care us since zed 451 discovered texas de brazil love service food great we also get different coupons via email joining mailing list,0
wish i could give place 2 5 stars 2 5 sounds better 2 my fiance i wanted try something new stumbled upon place looking menu nothing really jumped me to start ordered split salad lettuce pears cherries cheddar cheese was okay needed dressing wasn t bad meat it really worth 10 i played safe ordered pork chop medium my fiance ordered medium rare was okay for 33 porkchop i d expect great porkchop came couple little slices potatoes salad tangerines bacon powder both porkchops tender hard cut server great really friendly knew stuff menu menu limited food okay back i could find lot restaurants spend 100 100 2 porkchops 2 salads 2 beers tip included not sure place high reviews,0
i would like bump 4 stars i got follow manager saying could credit guac misunderstanding that really nice follow up lot establishments care follow customers she also mentioned birthday flan charged notice credit bottom tab like i said food great service little slow side really great management follow up,0
carnivale far one favorite restaurants chicago the decor ambiance take breath away food fantastic it s pricier destination standard dinner fare combination food experience make well worth price highly recommended business dinners entertaining town guests special night out,0
visited the bad apple last night dinner our burgers one regular one dracula s revenge good service ambiance great loved garlic fries yum definitely back nice addition neighborhood,0
this place definitely meatlovers paradise i usually go get great deals via email couple guy friends boyfriend total carnivors i love salad bar huge selection have cannot go wrong nice salad fresh sears tuna even sushi bar order certain maki rolls from the lobster bisque decent eat type place really going soup no skip want go right main course they kinds meats legs lamb steaks chicken pork special spicy spanish sausage pick choose want i recommend beef dishes anything wrap bacon lol also get chance cocktails drinks similar cuban mojitos love make reservation two party 20 enjoy remember pace yourself lots enjoy rush put out,0
blaze vegetarian food the diner past prime old outdated boring menu choices the food often bland service average it s hyped location raw desserts good though,0
alliance gets 5 stars 2 custom cupcakes made birthday a hello kitty red velvet cheetah print chocolate marshmallow my boyfriend surprised ever since i addicted gourmet cupcakes we drive alliance least month pick red velvet strawberry lemon cupcakes my step dad also loves cookies the designs custom cupcakes adorable yummy alliance amazing far better sprinkles give try,0
i never quite understood fascination place cramped slow long lines bloated sloppy pizza cup tea really,0
it took years get place meal when i finally did i almost angry every friend i who d regularly why hogtie force place sooner it is far one best vegetarian diners chicago if the best no strive prepare melange tofu bouffant sprig parsley fantastique reduction it s food sometimes creative twist old theme welcome simply must reminder meat as one who s vegetarian vegan since age 12 would me it s tasty served wink shared pleasure environment everyone immediate bond similar motoryclists round world honk nod there also outdoor section back whether vegetarian give place visit,0
i think i found new favorite place thursday nights 1 2 margarita pitchers i heaven not mention strong were so definitely getting money s worth mighty tasty i also tried food say least average mexican food i usually like eating mexican food restaurants i always feel like could get tastier mexican food cheap mexican places food okay i chips salsa steak tacos average rice beans usually always same can t mess up i say margaritas definitely made food tastier time worthwhile i also liked set up place i thought particularly small lead side door goes tiny walk way completely different part restaurant i would say definitely go group makes fun adds fun noisy atmosphere,0
excellent service lovely decor love beef lo mein,1
for me idiots judge pastry shop cup cakes need kick ass the way see one day martha stewart show cup cakes wacked prozac queens could find vanilla extract drank so made elses problem now cup cake marrygoround bull shit alliance great product eat shut up,0
alliance bakery wedding cake summer june it beautiful well delicious they gave us free tasting several combinations cakes frosting worked us design even made changes weeks later problem making adjustments they worked directly florist fresh flowers i wanted layer 4 layer cake love cannot wait go back free anniversary cake made order next june thanks lindsay,1
loved place always friendly service great food went meet friends eat crab night doctors appt went long i arrived late i told i would allowed order anything strict reservation policy with anything i said would say can t not play pity card someone service industry 20 years i talking someone cast boot iv tubes coming arm obvious pump hooked i might let order salad there big difference can t,1
just got done eating saturday night perfect evening girlfriend i we wait long table byob policy absolutely wonderful our waiter attentive without pushy really allowed us settle drink little wine making decisions entree i osso buco fettucine alfredo plates full almost overflowing the osso bucco tender delicious i enjoyed every bite then got dessert giant slab tasty teramisu even finish overall i loved fact rush make decisions finish meal really allow customer savor atmosphere meal we definitely back,1
this review dinner date back 2009 i know i m many months late i started yelping mercat la planxa chef s tasting special nye all i say wow i believe 12 dishes small portions tasty filling our dinner lasted little less 2 hours multiple dishes served it well worth it service food ambiance equally great i would love come back again hint hint,0
i love carnivale decor service food drinks ambiance it s awesome i ve couple times every visit good last mojitos yumm guac yumm arepa yumm ropa vieja yumm tuna ceviche yumm churrasco yummtastic makes wanna dance every time take bite polla yumm bistek palomilla yumm fried yucca yumm wow think i ve tried almost half things menu first timers carnivale recommend mojitos guac churrasco gigantic 3 layered guava mango pistachio ice cream cake yum yum yum happy eating,0
one favorite brunch lunch places there s always wait ridiculously long restaurant cute home y even though waitresses speak fluent english service always great love omelettes either spicy flamenco spinach feta me love homemade super fresh jellies different flavors every day homemade honey butter deeelish too coffee robust starbucks good enough meli known juices smoothies yet try both meals expensive i ve never driven meli looks like finding street parking difficult parking lot around area free love brunch have give meli chance,0
dad s eat free father s day took family dinner one father s day dad s first time here dad loves meat totally fell love texas de brazil mom meat lover perfectly content salad bar everytime go walk empty stomach walk looking like pregnant lady worth though love bread love oysters salad bar dinner sure still do service always excellent sign mailing list always send free meal coupons discounts,0
stopped st patrick s day hungry know else go actually hot day plus drinking hunger mix well the place packed it s small restaurant maybe 10 table tops it fancy restaurant casual atmosphere our server attentive noticed every time needed water the food came timely manner well we wanted eat something light ordered nachos 2 carne asana taco dish came rice beans we full time finished nachos the food portions generous worth money pay,0
more english irish gastropub crackin the cheese plate plentiful tuna devine fish n chips came newspaper sans peas admitted slight disappointment marked fabulous company one best wait staff chicago thank steven enjoy,1
really good inexpensive traditional mexican can little greasy everybodys mom makes better close gonna get the outside place cute painted you get chips two kinds salsa sit down prices pretty low tamales 6 came rice beans a good place overall polite service,1
i learned i m fondue person based experience i must say i conflicted saying i m total foodie appreciate forms cooking in nutshell issues we late reservation host said would find table us and did two hours later at hour mark already car valet 12 invested much time see whole fondue experience end so waited waited nibbling cheese crackers bar retrospect favorite part meal finally seated however i naseous smelling gross scent oil two hours so first course arrived important know i use gruyere time taste like gruyere i m sure exactly i enjoy it then oil came out maybe i m germophobe i felt completely grossed raw meat seafood one plate all i could think deadly combo e coli salmonella swimming around platter then injuries occured both date i burned spattering hot oil i quickly realized i simply enjoy food deep fried and stomach let know quite powerfully later evening know i mean lastly dessert came besides cheese crackers bar roasted marshmallow second favorite part meal as far one romantic places city i must vehemently disagree the oily residue dustbunnies everywhere raw food definitely come across romantic me the first thing i i arrived home take shower wash oily scent stuck like skunk right hair,0
we ate thursday morning it s michigan avenue 3 blocks hotel we ate around 9 00am there light crowd probably city work the service good the place hip contemporary for breakfast place feel place even though shorts t shirts the coffee oj delicious the portions big food arrived quickly i ordered ready this red velvet french toast they cut 2 slices red velvet cake loaf style like jelly roll instead jelly it s cream cheese frosting batter egg bath cook griddle they re served eggs fruit bacon sausage they also give syrup powdered sugar main portion need it the frosting middle need it great meal much i finish all everything cooked well the sausages plump flavorful these big breakfast sausages too no mini links here you get pay yolk totally worth it my meal around 9 10 bucks plus tax tip beverages i would go tomorrow i chicago it s great place get great bite eat just show hungry,0
davanti enoteca let count ways love you 1 affordable wine selection 2 truffle egg toast 3 roasted corn arugula salad 4 risotto egg yolks 5 gelato husband went mid november great dining experience ended eating bar 1 5 hr wait husband snagged seats us eating bar ended blast chatted strangers waiting tables got take hustle bustle restaurant service pleasant food wow mentioned above cannot wait go back,0
i signed yelp leave place good review i knew would wait prepared although i hungry tempted go for fri night around 8 45 minute wait there little mix tables hostess extremely nice owner came opened bottle champagne us we re seated five minutes later still seated estimated time the service prompt the waiter took time explain dishes answer questions he knowledgeable honest patient i appreciated fact owner seemed involved he talking guest waiting seated continually checking kitchen he made personal recommendations dishes hostess bring bread people waiting we ordered caprese con bufala sliced style i prefer accustomed to mozzarella probably best i ve had the cheese tasted fresh i still would prefer sliced roma tomatoes side rather topped cherry each dish came really fast despite busy were the pizzas delight i ordered funghi e salsiccia friend ordered margherita they seemed melt mouth crust perfectly charred oven throughout meal staff friendly accommodating the thing ieft desired wider selection wine by the glass,1
serious disappointment i brought wife 44th birthday we given best table house that s fun ended our service slow apathetic clear going spend 400 00 we spend 200 00 got two glasses wine two beers chef s tasting menu disconnected flavors i ever experienced when complimented one decent dish rabbit w sour cherries server s response yeah everyone likes one we ordered lobster served pathetic langostine i ever seen in short pretty much everything cooked set luke warm and found able make much conversation complimenting surroundings tastings felt would fall asleep not recommended,1
maybe i appreciate good cuban food place really all i ve tried 3 times i practically live next door time i m left sentiment meh i ve tried 4 different sandwiches decent nothing remarkable definitely overpriced the empanadas liking either sides everything seemed bland soggy i may give place another shot summer i m resigned 2 stars now i give credit renovating nasty vacant hot dog stand occupied space took over the mural side building beautiful interior decor interesting well,0
this place perfect the food great service phenomenal in addition hot apple pear tea awesome overall great place,1
this cozy lp eatery great value offering huge portions well executed italian cuisine quaint setting the service good nice al fresco dining warmer months the wine service expect neighborhood italian place ie basic offer approachable selections reasonable prices the calamari spaghetti veal meatballs butternut squash ravioli highly recommended,0
the purple pig buzz chicago lately i ve wanting go since opened finally stopped yesterday afternoon late afternoon snack the place small cozy very much sitting someone s country style kitchen they great wine list well interesting and pork heaven menu we ordered glass two wine moscato two us cava third the moscato i get bottle next time i think get bottle we look menu ordered it would ve asked least half bottle saw options next time we got eggplant caponnata pork fried almonds rock shrimp fried mussels eggplant caponnata yum warm toast goat cheese topped eggplant cold a delicious combination flavors temperature we really really enjoyed i think it ll staple part order time pork fried almonds yhey ok i guess i expected saltiness almonds fact salty rock shrimp this cold small salad shrimp snap peas sweet peas really tart fresh dressing i m huge fan cold shrimp surprisingly refreshing i love peas though gave nice sweetness dish fried mussels besides eggplant dish fave smoked mussels lightly breaded fried served atop small salad the salad good too wow need serve bowl mussels so good overall loved cozy vibe cozy food here it s great spot stop small bites delicious wine match we got meet chef owner well friendly welcoming great customer service we ll definitely back i m bringing others too the moscato mussels calling name p s this realistically 4 5 star review i m taking 1 2 point i see lardo crostini menu the thing i specifically wanted here chef said serve it but reason go back,0
the chicago diner dining mecca unofficial holy grail meat free experience always must go traveling vegan vegetarian ovo lacto the vegan milkshakes cult following diner known healthy ultimately delicious brunch dinners locals love too meat lovers never fear my omni gentlemanfriend enjoyed immensely egg biscuit sammie perhaps due respective condiment cajunnaise he may licked little container clean definitely balk seitan sausage we agreed herb flaked biscuit superb standard breakfast fare also abound portions large large get meaning coffee comes huge cups they re generous refills necessity establishment diner title seitan bacon although fun use incorrect spelling tastes nothing like bacon everything like smoked tofu i like fake meats we also tried vegan cinnamon roll omniboyfriend said this tastes nothing like vegan food i m pretty sure means tasty although belmont staple usually pretty crowded waitstaff rush you our almost overly goofy waiter said earned some chill time brought check personally i d prefer fake soy cheeze scrambled tofu,0
wow i agree michael s sprout great experience one girlfriends i went sprout sunday we originally planning dining saturday ended changing plans go sunday the atmosphere great really relaxing music playing crowded nice we prix fixe menu everything amazing i started foie gras short rib main course i finished lemon dessert i cannot explain short rib probably one best dishes i us the truffle potatoes incredible i eating plate i speechless amazing i also mention waiter excellent job explaining everything my friend i slowly tasting everything felt like top chef one point friend looked like i tom padma it pretty funny all sprout great experience loved it oh way i pleasure meeting dale after meal came greeted us i back try everything,1
my first experience piccolo sogno nothing spectacular i actually really disappointed i returned last night restaurant week decided give another shot i blown away food the service i say needs improvement reservations 7 30 finally seated 8 00pm after wait half hour seated i wanted glass wine our waiter took another another 20 min bring menus another 10min bring wine the service pretty frustrating i giving 5 stars now positive feedback i ordered green white paglia e fieno con vitello handmade pasta similar fettuccine light veal meat sauce i say wow fresh delicate exactly good italian food meant be for dessert i split hazel nut cake hazel gelato candied hazel nuts yum i also really liked decor i definitely return summer sit outside enjoy fresh food gorgeous patio,1
